adr,hbv_mono_count,hbv_mono_prop,hiv_hbv_count,hiv_hbv_prop,risk_ratio,chi2,p_value
Calculus bladder,3,4.3266318613170266e-05,2,5.193024729183761e-06,8.331621910063745,,
Cholangitis acute,3,4.3266318613170266e-05,2,5.193024729183761e-06,8.331621910063745,,
C-reactive protein increased,54,0.0007787937350370648,36,9.347444512530769e-05,8.331621910063745,135.94333755101295,2.0530639295536275e-31
Body tinea,3,4.3266318613170266e-05,2,5.193024729183761e-06,8.331621910063745,,
Paranasal sinus hypersecretion,3,4.3266318613170266e-05,2,5.193024729183761e-06,8.331621910063745,,
Full blood count abnormal,15,0.00021633159306585134,10,2.59651236459188e-05,8.331621910063745,35.32853329118022,2.7852155311369082e-09
Aortic valve incompetence,3,4.3266318613170266e-05,2,5.193024729183761e-06,8.331621910063745,,
Pharyngeal disorder,3,4.3266318613170266e-05,2,5.193024729183761e-06,8.331621910063745,,
Cardiac amyloidosis,3,4.3266318613170266e-05,2,5.193024729183761e-06,8.331621910063745,,
Petit mal epilepsy,3,4.3266318613170266e-05,2,5.193024729183761e-06,8.331621910063745,,
Poor venous access,12,0.00017306527445268107,8,2.0772098916735043e-05,8.331621910063745,27.605164985574362,1.4878095264214303e-07
Aortic dissection,3,4.3266318613170266e-05,2,5.193024729183761e-06,8.331621910063745,,
Food craving,3,4.3266318613170266e-05,2,5.193024729183761e-06,8.331621910063745,,
Transplant evaluation,3,4.3266318613170266e-05,2,5.193024729183761e-06,8.331621910063745,,
Carotid artery occlusion,3,4.3266318613170266e-05,2,5.193024729183761e-06,8.331621910063745,,
Tryptase increased,3,4.3266318613170266e-05,2,5.193024729183761e-06,8.331621910063745,,
Supraventricular extrasystoles,3,4.3266318613170266e-05,2,5.193024729183761e-06,8.331621910063745,,
Jejunal perforation,3,4.3266318613170266e-05,2,5.193024729183761e-06,8.331621910063745,,
Antiphospholipid syndrome,3,4.3266318613170266e-05,2,5.193024729183761e-06,8.331621910063745,,
Impaired self-care,3,4.3266318613170266e-05,2,5.193024729183761e-06,8.331621910063745,,
Basophil count decreased,3,4.3266318613170266e-05,2,5.193024729183761e-06,8.331621910063745,,
Mycobacterium tuberculosis complex test positive,3,4.3266318613170266e-05,2,5.193024729183761e-06,8.331621910063745,,
Microalbuminuria,30,0.0004326631861317027,20,5.19302472918376e-05,8.331621910063745,74.00593900393092,7.788235880094306e-18
Pharyngeal erythema,3,4.3266318613170266e-05,2,5.193024729183761e-06,8.331621910063745,,
Hypopituitarism,6,8.653263722634053e-05,4,1.0386049458367521e-05,8.331621910063745,,
Blood alkaline phosphatase increased,87,0.0012547232397819377,58,0.00015059771714632904,8.331621910063745,221.14055711181075,5.100372083125946e-50
Cerebral haematoma,3,4.3266318613170266e-05,2,5.193024729183761e-06,8.331621910063745,,
Behcet's syndrome,6,8.653263722634053e-05,4,1.0386049458367521e-05,8.331621910063745,,
Injection site discomfort,3,4.3266318613170266e-05,2,5.193024729183761e-06,8.331621910063745,,
Pyelonephritis acute,3,4.3266318613170266e-05,2,5.193024729183761e-06,8.331621910063745,,
Gastric perforation,3,4.3266318613170266e-05,2,5.193024729183761e-06,8.331621910063745,,
Tonsil cancer,3,4.3266318613170266e-05,2,5.193024729183761e-06,8.331621910063745,,
Demyelinating polyneuropathy,3,4.3266318613170266e-05,2,5.193024729183761e-06,8.331621910063745,,
Cerebrovascular insufficiency,3,4.3266318613170266e-05,2,5.193024729183761e-06,8.331621910063745,,
Latent autoimmune diabetes in adults,3,4.3266318613170266e-05,2,5.193024729183761e-06,8.331621910063745,,
Device related bacteraemia,3,4.3266318613170266e-05,2,5.193024729183761e-06,8.331621910063745,,
Brain abscess,3,4.3266318613170266e-05,2,5.193024729183761e-06,8.331621910063745,,
Hepatitis B surface antibody positive,9,0.0001297989558395108,6,1.5579074187551282e-05,8.331621910063744,19.89485780600547,8.18201051537481e-06
Papilloma viral infection,9,0.0001297989558395108,6,1.5579074187551282e-05,8.331621910063744,19.89485780600547,8.18201051537481e-06
Nail disorder,9,0.0001297989558395108,6,1.5579074187551282e-05,8.331621910063744,19.89485780600547,8.18201051537481e-06
Haemoglobin decreased,145,0.002091205399636563,97,0.0002518616993654124,8.302990906936378,370.07946830660006,1.7984211322927217e-82
Acute myeloid leukaemia,34,0.0004903516109492631,23,5.971978438561325e-05,8.210873766439633,83.49059797602835,6.401972853680011e-20
Feeling cold,38,0.0005480400357668234,26,6.750932147938888e-05,8.117990579036471,92.97913279031955,5.284862303884808e-22
Metastases to bone,16,0.00023075369927024142,11,2.8561636010510682e-05,8.079148518849692,37.10435247993669,1.119735079112521e-09
BK virus infection,26,0.0003749747613141423,18,4.673722256265384e-05,8.023043320802126,62.04863804353789,3.3507803772047155e-15
Graft versus host disease,13,0.00018748738065707115,9,2.336861128132692e-05,8.023043320802126,29.393496482888867,5.9075561129943604e-08
Transplant dysfunction,13,0.00018748738065707115,9,2.336861128132692e-05,8.023043320802126,29.393496482888867,5.9075561129943604e-08
Fibrin D dimer increased,10,0.0001442210620439009,7,1.817558655214316e-05,7.93487800958452,21.70157636558734,3.1852942557325876e-06
Pulmonary fibrosis,20,0.0002884421240878018,14,3.635117310428632e-05,7.93487800958452,46.604043268715024,8.688080351367239e-12
IgA nephropathy,10,0.0001442210620439009,7,1.817558655214316e-05,7.93487800958452,21.70157636558734,3.1852942557325876e-06
Transfusion,10,0.0001442210620439009,7,1.817558655214316e-05,7.93487800958452,21.70157636558734,3.1852942557325876e-06
Neutropenia,412,0.005941907756208717,291,0.0007555850980962371,7.8639821923167545,1019.9777161714317,8.163437484616085e-224
Bacteraemia,41,0.0005913063543799937,29,7.529885857316452e-05,7.852793064657784,98.26950366715302,3.651462371383416e-23
Hypothyroidism,62,0.0008941705846721856,44,0.00011424654404204273,7.8266751276356405,149.95198276528598,1.7760499160475591e-34
Injection site bruising,35,0.0005047737171536531,25,6.4912809114797e-05,7.77618044939283,82.82278489268023,8.974946031682186e-20
Pneumonia cytomegaloviral,7,0.00010095474343073063,5,1.29825618229594e-05,7.77618044939283,14.052049002946296,0.00017781998598735696
Appetite disorder,21,0.00030286423029219186,15,3.8947685468878204e-05,7.776180449392829,48.39262837566075,3.4887719953821962e-12
Optic neuropathy,15,0.00021633159306585134,11,2.8561636010510682e-05,7.574201736421587,33.00671756372311,9.184099823297067e-09
Tremor,166,0.002394069629928755,122,0.0003167745084802094,7.557646104210829,397.0953376546093,2.3618310313993354e-88
Body temperature increased,27,0.0003893968675185324,20,5.19302472918376e-05,7.498459719057371,61.4903633299599,4.449153973148324e-15
Tumour lysis syndrome,27,0.0003893968675185324,20,5.19302472918376e-05,7.498459719057371,61.4903633299599,4.449153973148324e-15
Calcinosis,12,0.00017306527445268107,9,2.336861128132692e-05,7.405886142278885,25.349727002837533,4.782200624854658e-07
Haemangioma of liver,4,5.7688424817560355e-05,3,7.789537093775641e-06,7.405886142278884,,
Respiratory tract infection viral,4,5.7688424817560355e-05,3,7.789537093775641e-06,7.405886142278884,,
Bronchiolitis,4,5.7688424817560355e-05,3,7.789537093775641e-06,7.405886142278884,,
Finger amputation,4,5.7688424817560355e-05,3,7.789537093775641e-06,7.405886142278884,,
Gastric ulcer perforation,8,0.00011537684963512071,6,1.5579074187551282e-05,7.405886142278884,15.896374246264509,6.690676944441301e-05
Ulcer haemorrhage,4,5.7688424817560355e-05,3,7.789537093775641e-06,7.405886142278884,,
Acute lymphocytic leukaemia,4,5.7688424817560355e-05,3,7.789537093775641e-06,7.405886142278884,,
Hepatic enzyme decreased,4,5.7688424817560355e-05,3,7.789537093775641e-06,7.405886142278884,,
Neonatal asphyxia,4,5.7688424817560355e-05,3,7.789537093775641e-06,7.405886142278884,,
Electric shock sensation,4,5.7688424817560355e-05,3,7.789537093775641e-06,7.405886142278884,,
Choking sensation,4,5.7688424817560355e-05,3,7.789537093775641e-06,7.405886142278884,,
Blood bilirubin decreased,4,5.7688424817560355e-05,3,7.789537093775641e-06,7.405886142278884,,
Parvovirus infection,4,5.7688424817560355e-05,3,7.789537093775641e-06,7.405886142278884,,
Enzyme level increased,8,0.00011537684963512071,6,1.5579074187551282e-05,7.405886142278884,15.896374246264509,6.690676944441301e-05
Salmonellosis,4,5.7688424817560355e-05,3,7.789537093775641e-06,7.405886142278884,,
Pulmonary congestion,8,0.00011537684963512071,6,1.5579074187551282e-05,7.405886142278884,15.896374246264509,6.690676944441301e-05
Bleeding varicose vein,4,5.7688424817560355e-05,3,7.789537093775641e-06,7.405886142278884,,
Upper-airway cough syndrome,8,0.00011537684963512071,6,1.5579074187551282e-05,7.405886142278884,15.896374246264509,6.690676944441301e-05
Postoperative wound infection,4,5.7688424817560355e-05,3,7.789537093775641e-06,7.405886142278884,,
Rhodococcus infection,4,5.7688424817560355e-05,3,7.789537093775641e-06,7.405886142278884,,
Neoplasm progression,69,0.000995125328102916,52,0.00013501864295877776,7.370280920441005,160.09575554799386,1.0782685562957779e-36
Insurance issue,21,0.00030286423029219186,16,4.1544197833470086e-05,7.290169171305776,46.132345113449624,1.1052854095974278e-11
Acute hepatitis B,34,0.0004903516109492631,26,6.750932147938888e-05,7.263465254927369,76.41630125325852,2.2974694060756173e-18
Gastrointestinal haemorrhage,94,0.0013556779832126684,72,0.00018694889025061537,7.251596847648075,216.62671823552083,4.922748978462369e-49
Basal cell carcinoma,30,0.0004326631861317027,23,5.971978438561325e-05,7.244888617446735,66.92581863031607,2.8191837097614206e-16
Breast cancer,26,0.0003749747613141423,20,5.19302472918376e-05,7.220738988721913,57.4388276109053,3.4865605858466896e-14
Dry mouth,92,0.0013268337708038883,71,0.00018435237788602348,7.197269631228776,210.74332567469807,9.4557187460483e-48
White blood cell count abnormal,9,0.0001297989558395108,7,1.817558655214316e-05,7.141390208626067,17.746470725804265,2.5238526917444326e-05
Adverse reaction,9,0.0001297989558395108,7,1.817558655214316e-05,7.141390208626067,17.746470725804265,2.5238526917444326e-05
Periorbital swelling,9,0.0001297989558395108,7,1.817558655214316e-05,7.141390208626067,17.746470725804265,2.5238526917444326e-05
Throat irritation,28,0.0004038189737229225,22,5.7123272021021365e-05,7.0692549539934815,61.09011632011477,5.452116518128788e-15
Pelvic pain,14,0.00020190948686146126,11,2.8561636010510682e-05,7.0692549539934815,29.025674754307527,7.142535583636482e-08
Hypertransaminasaemia,24,0.00034613054890536213,19,4.9333734927245725e-05,7.016102661106312,51.618477547693196,6.740421886874671e-13
Maternal drugs affecting foetus,5,7.211053102195045e-05,4,1.0386049458367521e-05,6.943018258386455,,
Enteritis infectious,5,7.211053102195045e-05,4,1.0386049458367521e-05,6.943018258386455,,
Fluid intake reduced,5,7.211053102195045e-05,4,1.0386049458367521e-05,6.943018258386455,,
Maternal exposure timing unspecified,5,7.211053102195045e-05,4,1.0386049458367521e-05,6.943018258386455,,
Toxic optic neuropathy,10,0.0001442210620439009,8,2.0772098916735043e-05,6.943018258386455,19.600420175021373,9.544820526453957e-06
Lichen planus,5,7.211053102195045e-05,4,1.0386049458367521e-05,6.943018258386455,,
Retinal degeneration,5,7.211053102195045e-05,4,1.0386049458367521e-05,6.943018258386455,,
Device issue,10,0.0001442210620439009,8,2.0772098916735043e-05,6.943018258386455,19.600420175021373,9.544820526453957e-06
Hyperleukocytosis,5,7.211053102195045e-05,4,1.0386049458367521e-05,6.943018258386455,,
Ear infection,15,0.00021633159306585134,12,3.1158148375102564e-05,6.943018258386454,30.870220969665635,2.7587259502508275e-08
Blood test abnormal,30,0.0004326631861317027,24,6.231629675020513e-05,6.943018258386454,64.75392562383233,8.48603851706416e-16
Metastases to liver,21,0.00030286423029219186,17,4.414071019806196e-05,6.861335690640732,44.00049646959458,3.282925846157406e-11
Hypomagnesaemia,21,0.00030286423029219186,17,4.414071019806196e-05,6.861335690640732,44.00049646959458,3.282925846157406e-11
Troponin increased,6,8.653263722634053e-05,5,1.29825618229594e-05,6.6652975280509965,10.269990422906085,0.0013521150476176005
Duodenitis,6,8.653263722634053e-05,5,1.29825618229594e-05,6.6652975280509965,10.269990422906085,0.0013521150476176005
Beta haemolytic streptococcal infection,6,8.653263722634053e-05,5,1.29825618229594e-05,6.6652975280509965,10.269990422906085,0.0013521150476176005
Respiratory alkalosis,6,8.653263722634053e-05,5,1.29825618229594e-05,6.6652975280509965,10.269990422906085,0.0013521150476176005
Toxic encephalopathy,6,8.653263722634053e-05,5,1.29825618229594e-05,6.6652975280509965,10.269990422906085,0.0013521150476176005
Gallbladder enlargement,6,8.653263722634053e-05,5,1.29825618229594e-05,6.6652975280509965,10.269990422906085,0.0013521150476176005
Adrenal adenoma,6,8.653263722634053e-05,5,1.29825618229594e-05,6.6652975280509965,10.269990422906085,0.0013521150476176005
Angiopathy,6,8.653263722634053e-05,5,1.29825618229594e-05,6.6652975280509965,10.269990422906085,0.0013521150476176005
Urine albumin/creatinine ratio increased,6,8.653263722634053e-05,5,1.29825618229594e-05,6.6652975280509965,10.269990422906085,0.0013521150476176005
Blood lactate dehydrogenase increased,36,0.0005191958233580432,30,7.789537093775641e-05,6.665297528050996,75.79783196764737,3.142459293638794e-18
Limb discomfort,49,0.0007066832040151143,41,0.00010645700694826709,6.638202822652414,103.90880444447637,2.1184596920501237e-24
Oral pain,19,0.0002740200178834117,16,4.1544197833470086e-05,6.5958673454671315,38.27476094330776,6.145234068745162e-10
Ileus,19,0.0002740200178834117,16,4.1544197833470086e-05,6.5958673454671315,38.27476094330776,6.145234068745162e-10
Mixed liver injury,26,0.0003749747613141423,22,5.7123272021021365e-05,6.564308171565375,53.24316125027827,2.9471168811231785e-13
Sensation of foreign body,7,0.00010095474343073063,6,1.5579074187551282e-05,6.480150374494024,12.137314823233645,0.0004942288468635134
Onychoclasis,7,0.00010095474343073063,6,1.5579074187551282e-05,6.480150374494024,12.137314823233645,0.0004942288468635134
Presyncope,28,0.0004038189737229225,24,6.231629675020513e-05,6.480150374494024,56.95061700476129,4.46894065788747e-14
Pain of skin,14,0.00020190948686146126,12,3.1158148375102564e-05,6.480150374494024,27.037040595208172,1.9959386580257237e-07
Jaundice,111,0.0016008537886872999,97,0.0002518616993654124,6.356082694275434,230.8016296628828,3.985857961563155e-52
Liver abscess,8,0.00011537684963512071,7,1.817558655214316e-05,6.347902407667616,14.004655659286634,0.0001823585435097936
Dermatitis acneiform,8,0.00011537684963512071,7,1.817558655214316e-05,6.347902407667616,14.004655659286634,0.0001823585435097936
Product supply issue,8,0.00011537684963512071,7,1.817558655214316e-05,6.347902407667616,14.004655659286634,0.0001823585435097936
Rhinovirus infection,8,0.00011537684963512071,7,1.817558655214316e-05,6.347902407667616,14.004655659286634,0.0001823585435097936
Frequent bowel movements,16,0.00023075369927024142,14,3.635117310428632e-05,6.347902407667616,30.762060070250918,2.9168536185178332e-08
Wound,17,0.00024517580547463153,15,3.8947685468878204e-05,6.295003220937052,32.6255240857592,1.1173768870162295e-08
No adverse event,265,0.0038218581441633735,234,0.0006075838933144999,6.290255858025335,550.5805050187917,9.412539596029592e-122
Haemoptysis,27,0.0003893968675185324,24,6.231629675020513e-05,6.248716432547809,53.146255203911544,3.0961513503470816e-13
Blood phosphorus increased,9,0.0001297989558395108,8,2.0772098916735043e-05,6.248716432547808,15.872012931282045,6.777357652341239e-05
Ammonia increased,9,0.0001297989558395108,8,2.0772098916735043e-05,6.248716432547808,15.872012931282045,6.777357652341239e-05
Metastasis,9,0.0001297989558395108,8,2.0772098916735043e-05,6.248716432547808,15.872012931282045,6.777357652341239e-05
Glossodynia,9,0.0001297989558395108,8,2.0772098916735043e-05,6.248716432547808,15.872012931282045,6.777357652341239e-05
Flushing,56,0.000807637947445845,50,0.000129825618229594,6.220944359514264,112.88128004081653,2.2908936540938455e-26
Multiple-drug resistance,142,0.0020479390810233928,127,0.0003297570703031688,6.210447827974026,290.34324370852875,4.185687182450065e-65
Optic atrophy,10,0.0001442210620439009,9,2.336861128132692e-05,6.171571785232405,17.73938663943689,2.5332684110827307e-05
Product temperature excursion issue,30,0.0004326631861317027,27,7.010583384398077e-05,6.171571785232404,58.733371182835164,1.805530593526328e-14
HIV associated nephropathy,22,0.00031728633649658197,20,5.19302472918376e-05,6.109856067380081,41.9488455362922,9.369268366514589e-11
Extrasystoles,11,0.00015864316824829098,10,2.59651236459188e-05,6.109856067380081,19.606776783968165,9.513117513247619e-06
Blood count abnormal,11,0.00015864316824829098,10,2.59651236459188e-05,6.109856067380081,19.606776783968165,9.513117513247619e-06
Hyperthyroidism,49,0.0007066832040151143,45,0.0001168430564066346,6.048140349527756,96.02617326231021,1.1337468878331777e-22
Dry eye,38,0.0005480400357668234,35,9.087793276071581e-05,6.030507287284235,73.64589987318567,9.346579003962358e-18
Restless legs syndrome,13,0.00018748738065707115,12,3.1158148375102564e-05,6.017282490601593,23.341606383028036,1.3563408982587694e-06
Skin reaction,13,0.00018748738065707115,12,3.1158148375102564e-05,6.017282490601593,23.341606383028036,1.3563408982587694e-06
Blood disorder,13,0.00018748738065707115,12,3.1158148375102564e-05,6.017282490601593,23.341606383028036,1.3563408982587694e-06
Chromaturia,68,0.0009807032218985261,63,0.00016358027896928845,5.995241162797193,133.32664212229278,7.669563875538022e-31
Organising pneumonia,15,0.00021633159306585134,14,3.635117310428632e-05,5.95115850718839,27.07650173019777,1.9556070032644757e-07
Lung adenocarcinoma,16,0.00023075369927024142,15,3.8947685468878204e-05,5.924708913823108,28.943974059866378,7.450221923442771e-08
Hepatic pain,16,0.00023075369927024142,15,3.8947685468878204e-05,5.924708913823108,28.943974059866378,7.450221923442771e-08
Hypokalaemia,161,0.0023219590989068044,152,0.0003946698794179658,5.883294418948522,314.33020178635513,2.4885141230222655e-70
Acute hepatic failure,62,0.0008941705846721856,59,0.00015319422951092093,5.836842468067258,118.43699220826888,1.3910340738932144e-27
Flank pain,25,0.00036055265510975224,24,6.231629675020513e-05,5.785848548655379,45.75196474846221,1.3421466830826581e-11
Diffuse large B-cell lymphoma,34,0.0004903516109492631,33,8.568490803153205e-05,5.722730200851866,62.56128704724721,2.5828082406272925e-15
Acinetobacter infection,5,7.211053102195045e-05,5,1.29825618229594e-05,5.554414606709164,6.842451984889123,0.008901657254784751
Oral fungal infection,5,7.211053102195045e-05,5,1.29825618229594e-05,5.554414606709164,6.842451984889123,0.008901657254784751
Hypovolaemia,5,7.211053102195045e-05,5,1.29825618229594e-05,5.554414606709164,6.842451984889123,0.008901657254784751
Fanconi syndrome,143,0.0020623611872277827,143,0.00037130126813663886,5.554414606709164,264.49931070989476,1.7939301255435564e-59
Arterial occlusive disease,5,7.211053102195045e-05,5,1.29825618229594e-05,5.554414606709164,6.842451984889123,0.008901657254784751
Rehabilitation therapy,5,7.211053102195045e-05,5,1.29825618229594e-05,5.554414606709164,6.842451984889123,0.008901657254784751
Localised oedema,5,7.211053102195045e-05,5,1.29825618229594e-05,5.554414606709164,6.842451984889123,0.008901657254784751
Pancreatic carcinoma,14,0.00020190948686146126,14,3.635117310428632e-05,5.554414606709164,23.52447920304305,1.2333453726543935e-06
Anuria,10,0.0001442210620439009,10,2.59651236459188e-05,5.554414606709164,16.08245747941756,6.064320517029873e-05
Fungal skin infection,7,0.00010095474343073063,7,1.817558655214316e-05,5.554414606709164,10.521831050477457,0.0011797253566825517
Injection site nodule,5,7.211053102195045e-05,5,1.29825618229594e-05,5.554414606709164,6.842451984889123,0.008901657254784751
Impaired gastric emptying,11,0.00015864316824829098,11,2.8561636010510682e-05,5.554414606709164,17.941054866026455,2.278527294772171e-05
Intra-abdominal fluid collection,5,7.211053102195045e-05,5,1.29825618229594e-05,5.554414606709164,6.842451984889123,0.008901657254784751
Gingival swelling,5,7.211053102195045e-05,5,1.29825618229594e-05,5.554414606709164,6.842451984889123,0.008901657254784751
Sudden hearing loss,7,0.00010095474343073063,7,1.817558655214316e-05,5.554414606709164,10.521831050477457,0.0011797253566825517
Hypovolaemic shock,7,0.00010095474343073063,7,1.817558655214316e-05,5.554414606709164,10.521831050477457,0.0011797253566825517
Mesenteric panniculitis,7,0.00010095474343073063,7,1.817558655214316e-05,5.554414606709164,10.521831050477457,0.0011797253566825517
Blood albumin abnormal,5,7.211053102195045e-05,5,1.29825618229594e-05,5.554414606709164,6.842451984889123,0.008901657254784751
Ventricular fibrillation,10,0.0001442210620439009,10,2.59651236459188e-05,5.554414606709164,16.08245747941756,6.064320517029873e-05
Haematoma,17,0.00024517580547463153,17,4.414071019806196e-05,5.554414606709164,29.11469873124215,6.82174563816895e-08
Subacute sclerosing panencephalitis,2,2.8844212408780178e-05,2,5.193024729183761e-06,5.554414606709163,,
Lung neoplasm surgery,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Injection site haematoma,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Homicidal ideation,2,2.8844212408780178e-05,2,5.193024729183761e-06,5.554414606709163,,
Lymphocyte percentage increased,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Exposure via skin contact,8,0.00011537684963512071,8,2.0772098916735043e-05,5.554414606709163,12.371903877268219,0.0004358429450883867
Pericarditis constrictive,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Resorption bone increased,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Pharyngeal operation,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Oedema mouth,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Complication of delivery,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Renal transplant failure,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Vital functions abnormal,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Retinal tear,2,2.8844212408780178e-05,2,5.193024729183761e-06,5.554414606709163,,
Transplant rejection,30,0.0004326631861317027,30,7.789537093775641e-05,5.554414606709163,53.368857639900725,2.7644473404461156e-13
Urine ketone body present,4,5.7688424817560355e-05,4,1.0386049458367521e-05,5.554414606709163,,
Breast calcifications,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Rheumatoid factor positive,3,4.3266318613170266e-05,3,7.789537093775641e-06,5.554414606709163,,
Non-Hodgkin's lymphoma stage IV,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Regurgitation,2,2.8844212408780178e-05,2,5.193024729183761e-06,5.554414606709163,,
Stoma complication,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Abdominal wall cyst,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Diverticulum intestinal haemorrhagic,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Blood folate decreased,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Illusion,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Dandruff,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Pupils unequal,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Mean cell haemoglobin concentration increased,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Product leakage,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Breath odour,3,4.3266318613170266e-05,3,7.789537093775641e-06,5.554414606709163,,
Diabetic retinopathy,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Abnormal uterine bleeding,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Respiratory depression,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Telangiectasia,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Myasthenic syndrome,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Smegma accumulation,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Middle ear effusion,2,2.8844212408780178e-05,2,5.193024729183761e-06,5.554414606709163,,
Elbow operation,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Renal surgery,2,2.8844212408780178e-05,2,5.193024729183761e-06,5.554414606709163,,
Antisocial personality disorder,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Product name confusion,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Mastectomy,2,2.8844212408780178e-05,2,5.193024729183761e-06,5.554414606709163,,
False positive investigation result,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Thyroid mass,3,4.3266318613170266e-05,3,7.789537093775641e-06,5.554414606709163,,
Oedematous kidney,2,2.8844212408780178e-05,2,5.193024729183761e-06,5.554414606709163,,
Photopsia,4,5.7688424817560355e-05,4,1.0386049458367521e-05,5.554414606709163,,
Metabolic dysfunction-associated liver disease,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Salivary hyposecretion,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Diabetic coma,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Corneal thinning,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Allergy to arthropod bite,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Microcytic anaemia,4,5.7688424817560355e-05,4,1.0386049458367521e-05,5.554414606709163,,
Energy increased,3,4.3266318613170266e-05,3,7.789537093775641e-06,5.554414606709163,,
Peripheral artery bypass,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Hyporeflexia,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Myoclonic epilepsy,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Rectal polyp,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Osteitis,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Platelet transfusion,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Orthopaedic procedure,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Complications of transplanted lung,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Haematoma infection,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Osteosarcoma,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Cytomegalovirus enteritis,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Mydriasis,4,5.7688424817560355e-05,4,1.0386049458367521e-05,5.554414606709163,,
Skin injury,9,0.0001297989558395108,9,2.336861128132692e-05,5.554414606709163,14.22582967352815,0.00016212975138832735
Neutrophil percentage decreased,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Tongue neoplasm,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Brain cancer metastatic,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Paralysis recurrent laryngeal nerve,2,2.8844212408780178e-05,2,5.193024729183761e-06,5.554414606709163,,
Vitamin B12 decreased,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Therapeutic product effect delayed,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Drug specific antibody,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Intestinal operation,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
Post procedural complication,6,8.653263722634053e-05,6,1.5579074187551282e-05,5.554414606709163,8.677529459700057,0.003221574052262074
Immunoglobulin G4 related disease,1,1.4422106204390089e-05,1,2.5965123645918804e-06,5.554414606709163,,
